SOFT COST:SC DIV 07 - Lender Fees:SC 7.3 Title / Taxes,Expenses,Other Business Expenses
SOFT COST:SC DIV 07 - Lender Fees:SC 7.4 Legal Fees / Lien Search,Expenses,Other Business Expenses
SOFT COST:SC DIV 07 - Lender Fees:SC 7.5 Equity Fee,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.0 Construction Monitoring & Management Fee,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.1 Arch/Eng - Construction Administration,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.2 Developer Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.3 Accounting & Bookkeeping,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.4 Legal Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.5 Administration Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.6 LEED Consultant,Expenses,Other Business Expenses
SOFT COST:SC DIV 08 - Professional Fees:SC 8.7 Permit Expeditors,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.0 Leasing Fees During Construction,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.1 Moving & Relocating Costs,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.2 Marketing / PR / T&E,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.3 Software Subscriptions,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.4 Reprographics & Printing,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.5 Construction Parking Lease,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.6 Construction Office,Expenses,Other Business Expenses
SOFT COST:SC DIV 09 - Additional Costs:SC 9.7 Security / Vandalism & Theft,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.1 Window Coverings,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.2 Parking Lot Signage,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.3 Permanent Interior & Exterior Signage,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.4 IT & Technology,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.5 Common Areas Furniture,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.6 Sport Equipment,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.7 Site Furnishing,Expenses,Other Business Expenses
SOFT COST:SC DIV 10 - FF&E:SC 10.8 Other - FF&E,Expenses,Other Business Expenses
"SOFT COST:SC DIV 11 - Permits, Taxes & Fees",Expenses,Other Business Expenses
"SOFT COST:SC DIV 11 - Permits, Taxes & Fees:SC 11.1 Building Impact Fees",Expenses,Other Business Expenses
"SOFT COST:SC DIV 11 - Permits, Taxes & Fees:SC 11.2 Real Estate Taxes During Construction",Expenses,Other Business Expenses
"SOFT COST:SC DIV 11 - Permits, Taxes & Fees:SC 11.3 Runner",Expenses,Other Business Expenses
"SOFT COST:SC DIV 11 - Permits, Taxes & Fees:SC 11.4 Permit Fee",Expenses,Other Business Expenses
"SOFT COST:SC DIV 11 - Permits, Taxes & Fees:SC 11.5 WASA",Expenses,Other Business Expenses
